Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
PALMITINHO,1,31,2,1,0,1,5,2,4,3
PANAMBI,2,286,23,21,0,3,93,16,17,16
PANTANO GRANDE,1,101,3,8,0,2,6,10,15,6
PARAI,0,41,4,0,0,0,4,3,4,2
PARAISO DO SUL,0,35,3,4,0,0,2,6,0,0
PARECI NOVO,0,20,2,1,0,0,5,0,3,0
PAROBE,6,420,64,133,0,32,106,25,48,26
PASSA SETE,1,42,2,1,0,0,3,4,1,1
PASSO DO SOBRADO,0,77,2,5,0,2,2,1,0,0
PASSO FUNDO,23,2016,431,904,0,149,530,155,179,179
PAULO BENTO,0,18,1,0,0,0,0,1,2,0
PAVERAMA,0,52,3,6,0,2,8,1,4,1
PEDRAS ALTAS,0,50,0,0,0,0,1,2,1,0
PEDRO OSORIO,0,82,4,14,1,0,14,2,3,3
PEJUCARA,0,29,1,2,0,1,5,5,2,0
PELOTAS,46,3175,324,2279,6,169,840,182,216,331
PICADA CAFE,0,21,0,4,0,1,3,0,8,2
PINHAL,0,24,0,1,0,0,5,1,0,0
PINHAL DA SERRA,0,16,1,0,0,0,2,1,1,0
PINHAL GRANDE,0,31,1,2,0,0,2,0,0,0
PINHEIRINHO DO VALE,0,16,1,2,0,0,2,1,0,0
PINHEIRO MACHADO,0,167,3,16,0,0,12,10,8,6
PINTO BANDEIRA,0,8,1,0,0,0,4,2,0,0
PIRAPO,0,20,0,0,0,0,0,1,0,0
PIRATINI,0,179,11,12,0,0,11,10,7,6
PLANALTO,4,76,5,3,0,0,2,7,11,7
POCO DAS ANTAS,0,7,1,1,0,0,7,0,1,0
PONTAO,0,39,2,4,0,0,2,3,0,3
PONTE PRETA,0,5,0,0,0,0,0,1,0,0
PORTAO,8,306,54,102,0,25,82,16,32,34
PORTO ALEGRE,357,25368,2539,20232,13,5127,6577,737,969,2434
PORTO LUCENA,0,20,1,1,0,0,3,7,1,0
PORTO MAUA,0,40,0,0,0,0,0,3,4,0
PORTO VERA CRUZ,0,15,0,0,0,0,1,1,1,1
PORTO XAVIER,1,75,1,7,0,0,14,11,11,3
POUSO NOVO,0,21,0,0,0,0,5,1,0,0
PRESIDENTE LUCENA,0,13,1,0,0,3,4,0,0,0
PROGRESSO,0,34,0,1,0,0,5,6,1,3
PROTASIO ALVES,0,18,0,0,0,0,3,1,0,0
PUTINGA,0,24,0,2,0,1,3,5,0,1
QUARAI,2,249,10,23,0,0,27,15,13,5
QUATRO IRMAOS,1,12,0,0,0,0,1,3,1,0
QUEVEDOS,0,19,0,1,0,0,2,1,0,0
QUINZE DE NOVEMBRO,0,23,3,3,0,0,4,2,1,0
REDENTORA,0,60,6,4,0,0,2,7,1,2
RELVADO,0,10,1,0,0,0,0,1,0,0
RESTINGA SECA,1,155,6,3,0,0,17,4,18,4
RIO DOS INDIOS,0,29,2,1,0,0,1,2,1,0
RIO GRANDE,25,2753,184,1576,2,52,476,124,177,257
RIO PARDO,8,379,22,33,1,1,51,12,50,16
RIOZINHO,0,30,2,0,0,0,5,0,2,1
ROCA SALES,1,133,6,16,0,1,10,5,8,5
RODEIO BONITO,0,30,0,1,0,0,3,1,4,1
ROLADOR,0,13,0,0,0,0,1,0,1,0
ROLANTE,7,133,5,21,0,7,54,6,45,5
RONDA ALTA,0,52,2,5,0,2,10,1,1,1
RONDINHA,0,28,1,2,0,2,6,1,0,1
ROQUE GONZALES,0,50,2,0,0,1,5,5,3,4
ROSARIO DO SUL,4,441,4,26,0,1,58,41,49,42
SAGRADA FAMILIA,1,15,1,2,0,0,1,2,0,0
SALDANHA MARINHO,0,19,2,2,0,0,0,0,0,0
SALTO DO JACUI,0,190,4,12,0,1,21,11,4,5
SALVADOR DAS MISSOES,0,16,1,0,0,0,3,3,0,0
SALVADOR DO SUL,0,44,1,2,0,1,6,2,1,1
SANANDUVA,1,126,9,14,1,0,11,9,1,2
SANTA BARBARA DO SUL,0,86,10,9,0,3,18,9,3,3
SANTA CECILIA DO SUL,0,9,1,0,0,0,1,0,0,0
SANTA CLARA DO SUL,0,20,2,3,0,0,5,0,0,0
SANTA CRUZ DO SUL,24,1580,332,292,2,25,317,57,81,142
SANTA MARGARIDA DO SUL,0,23,0,1,0,0,1,5,0,1
SANTA MARIA,26,3504,218,1184,6,25,977,189,334,274
SANTA MARIA DO HERVAL,0,30,7,0,0,0,6,1,1,0
SANTA ROSA,1,673,36,49,2,5,142,33,148,88
SANTA TEREZA,0,5,1,0,0,0,2,0,1,0
SANTA TEREzA,0,1,0,0,0,0,0,0,0,0
SANTA VITORIA DO PALMAR,6,558,19,63,0,2,64,16,15,30
SANTANA DA BOA VISTA,1,59,1,6,0,1,8,3,2,1
SANTANA DO LIVRAMENTO,4,1008,60,106,0,4,165,38,100,27
SANTIAGO,1,516,5,44,0,2,102,42,99,82
SANTO ANGELO,3,1074,57,164,0,3,157,38,83,51
SANTO ANTONIO DA PATRULHA,10,382,34,100,0,7,55,14,42,23
SANTO ANTONIO DAS MISSOES,2,106,1,4,0,1,7,8,14,3
SANTO ANTONIO DO PALMA,0,24,0,3,0,1,4,2,0,0
SANTO ANTONIO DO PLANALTO,0,12,1,3,0,0,6,0,0,0
SANTO AUGUSTO,0,170,21,5,0,2,9,9,14,5
SANTO CRISTO,1,58,3,1,0,1,18,3,5,3
SANTO EXPEDITO DO SUL,0,9,0,0,0,0,1,2,0,0
SAO BORJA,6,669,44,107,0,2,74,39,61,116
SAO DOMINGOS DO SUL,0,25,2,0,0,0,4,1,2,0
SAO FRANCISCO DE ASSIS,0,153,5,4,0,0,21,14,17,8
SAO FRANCISCO DE PAULA,4,326,11,33,1,2,39,18,15,14
SAO GABRIEL,7,767,20,52,0,3,75,38,43,80
SAO JERONIMO,0,223,7,50,0,3,36,16,27,36
SAO JOAO DA URTIGA,2,15,1,1,0,0,4,2,0,1
SAO JOAO DO POLESINE,0,30,0,0,0,0,2,2,0,2
SAO JORGE,0,20,0,1,0,0,4,0,0,0
SAO JOSE DAS MISSOES,0,11,0,0,0,0,0,0,0,0
SAO JOSE DO HERVAL,0,23,3,1,0,1,2,3,0,0
SAO JOSE DO HORTENCIO,0,31,3,1,0,1,9,0,4,0
SAO JOSE DO INHACORA,0,7,0,0,0,0,3,0,0,0
SAO JOSE DO NORTE,1,342,19,63,0,2,15,13,30,21
SAO JOSE DO OURO,0,50,2,2,0,0,10,5,1,1
SAO JOSE DO SUL,0,11,1,0,0,0,2,0,1,0
SAO JOSE DOS AUSENTES,2,28,2,0,0,0,4,2,1,2
SAO LEOPOLDO,56,2792,443,1499,1,386,575,117,292,312
SAO LOURENCO DO SUL,3,289,10,33,0,1,47,11,46,14
SAO LUIZ GONZAGA,4,526,23,64,0,2,30,37,37,38
SAO MARCOS,4,163,10,26,0,1,55,11,21,19
SAO MARTINHO,0,19,2,3,0,1,7,1,2,1
SAO MARTINHO DA SERRA,0,65,0,1,0,0,7,2,0,0
SAO MIGUEL DAS MISSOES,0,62,1,1,0,0,5,6,2,0
SAO NICOLAU,0,102,1,0,0,0,3,5,1,0
SAO PAULO DAS MISSOES,1,20,0,2,0,0,3,0,1,0
SAO PEDRO DA SERRA,0,7,1,1,0,0,3,2,5,0
